"","Año","Mes","Sede","Producto","Peso.Kg.","Tipo.de.Envase","Pais.Origen"
"16461","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MANZANA, fruto fresco",60093.6,"CAJA(S)","CHILE"
"16462","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","Marañon (NUEZ DE CAJU), semilla alimenticia sin cascara, seca industriamente",15876,"CAJA(S)","BRASIL"
"16463","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>34.92 mm)",276930,"FARDOS","EEUU"
"16464","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, grano",2182445,"GRANEL","EEUU"
"16465","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALMENDRA, sin cáscara secado al natural",16330,"CAJA(S)","CHILE"
"16466","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MADERA, en bruto de coníferas tratada agentes de conservación
",27610,"PIEZAS","CHILE"
"16467","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","MAIZ REVENTON, grano",152400,"SACO(S)","ARGENTINA"
"16468","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",57800,"SACO(S)","BOLIVIA"
"16469","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",85170,"GRANEL","BOLIVIA"
"16470","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",83500,"GRANEL","BOLIVIA"
"16471","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",28000,"GRANEL","BOLIVIA"
"16472","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",45000,"GRANEL","BOLIVIA"
"16473","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, grano",54650,"GRANEL","BOLIVIA"
"16474","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",116000,"SACO(S)","BOLIVIA"
"16475","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",56000,"SACO(S)","BOLIVIA"
"16476","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",39648,"PAQUETES","CHILE"
"16477","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",74215,"PAQUETES","CHILE"
"16478","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>22.22 mm = o <28.57 mm)",178370,"FARDOS","EEUU"
"16479","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","MANI, grano sin cáscara",29000,"SACO(S)","BOLIVIA"
"16480","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>22.22 mm = o <28.57 mm)",139810,"FARDOS","EEUU"
"16481","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ALGODON, fibra sin cardar ni peinar (>28.57 mm = o <34.92 mm)",77990,"FARDOS","EEUU"
"16482","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","TRIGO, pellets",20220,"SACO(S)","MEXICO"
"16483","2021",7,"SANTA ROSA, TACNA","TRIGO, afrecho seco industrial",56000,"SACO(S)","CHILE"
"16484","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, semilla",40000,"BOLSAS","NUEVA ZELANDIA"
"16485","2021",7,"PUESTO DE CONTROL- CEBAF","ROSA, flores frescas cortadas",4376,"CAJA(S)","ECUADOR"
"16486","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","LUPULO, pellets",9000,"PALETAS","EEUU"
"16487","2021",7,"PUESTO DE CONTROL TERRESTRE DESAGUADERO","SOYA, torta",84000,"SACO(S)","BOLIVIA"
"16488","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",49442,"SACO(S)","CANADA"
"16489","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","ARVEJA, grano partido",24948,"SACO(S)","EEUU"
"16490","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","SOYA, torta",6300000,"GRANEL","BOLIVIA"
"16491","2021",7,"PUERTO DE PISCO , ICA","SOYA, torta",4e+06,"GRANEL","BOLIVIA"
"16492","2021",7,"PUESTO DE CONTROL- CEBAF","ROSA, flores frescas cortadas",7300,"CAJA(S)","ECUADOR"
"16493","2021",7,"PUESTO DE CONTROL- CEBAF","CLAVEL, flores frescas cortadas",700,"CAJA(S)","ECUADOR"
"16494","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",92516,"PAQUETES","CHILE"
"16495","2021",7,"OFICINA PUESTO DE CONTROL MARITIMO - PROV. CONST. DEL CALLAO","PINO, madera aserrada con algún proceso de la CRF2",184794,"PAQUETES","CHILE"
